"country",latitude,longitude
"Norway",60.472024,8.468946
"Australia",-25.274398,133.775136
"Netherlands",52.132633,5.291266
"United States",37.09024,-95.712891
"New Zealand",-40.900557,174.885971
"Canada",56.130366,-106.346771
"Ireland",53.41291,-8.24389
"Liechtenstein",47.166,9.555373
"Germany",51.165691,10.451526
"Sweden",60.128161,18.643501
"Switzerland",46.818188,8.227512
"Japan",36.204824,138.252924
""Hong Kong",22.396428,114.109497
"Iceland",64.963051,-19.020835
"Korea (Republic of)",40.75121,-73.968923
"Denmark",56.26392,9.501785
"Israel",31.046051,34.851612
"Belgium",50.503887,4.469936
"Austria",47.516231,14.550072
"France",46.227638,2.213749
"Slovenia",46.151241,14.995463
"Finland",61.92411,25.748151
"Spain",40.463667,-3.74922
"Italy",41.87194,12.56738
"Luxembourg",49.815273,6.129583
"Singapore",1.352083,103.819836
"Czech Republic",49.817492,15.472962
"United Kingdom",55.378051,-3.435973
"Greece",39.074208,21.824312
"United Arab Emirates",23.424076,53.847818
"Cyprus",35.126413,33.429859
"Andorra",42.546245,1.601554
"Brunei Darussalam",4.535277,114.727669
"Estonia",58.595272,25.013607
"Slovakia",48.669026,19.699024
"Malta",35.937496,14.375416
"Qatar",25.354826,51.183884
"Hungary",47.162494,19.503304
"Poland",51.919438,19.145136
"Lithuania",55.169438,23.881275
"Portugal",39.399872,-8.224454
"Bahrain",26.0667,50.5577
"Latvia",56.879635,24.603189
"Chile",-35.675147,-71.542969
"Argentina",-38.416097,-63.616672
"Croatia",45.7533427,15.9891256
"Barbados",13.193887,-59.543198
"Uruguay",-32.522779,-55.765835
"Palau",7.51498,134.58252
"Romania",45.943161,24.96676
"Cuba",21.521757,-77.781167
"Seychelles",-4.679574,55.491977
"Bahamas",25.03428,-77.39628
"Montenegro",42.708678,19.37439
"Bulgaria",42.733883,25.48583
"Saudi Arabia",23.885942,45.079162
"Mexico",23.634501,-102.552784
"Panama",8.537981,-80.782127
"Serbia",44.016521,21.005859
"Antigua and Barbuda",17.060816,-61.796428
"Malaysia",4.210484,101.975766
"Trinidad and Tobago",10.691803,-61.222503
"Kuwait",29.31166,47.481766
"Libyan Arab Jamahiriya",26.3351,17.228331
"Belarus",53.709807,27.953389
"Russian Federation",61.52401,105.318756
"Grenada",12.1165,-61.679
"Kazakhstan",48.019573,66.923684
"Costa Rica",9.748917,-83.753428
"Albania",41.153332,20.168331
"Lebanon",33.854721,35.862285
"Saint Kitts and Nevis",17.357822,-62.782998
"Venezuela (Bolivarian Republic of)",38.9037996,-77.0590042
"Bosnia and Herzegovina",43.915886,17.679076
"Georgia",42.315407,43.356892
"Ukraine",48.379433,31.16558
"Mauritius",-20.348404,57.552152
"The former Yugoslav Republic of Macedonia",41.608635,21.745275
"Jamaica",18.109581,-77.297508
"Peru",-9.189967,-75.015152
"Dominica",15.414999,-61.370976
"Saint Lucia",13.909444,-60.978893
"Ecuador",-1.831239,-78.183406
"Brazil",-14.235004,-51.92528
"Saint Vincent and the Grenadines",13.2533835,-61.196251
"Armenia",40.069099,45.038189
"Colombia",4.570868,-74.297333
"Iran (Islamic Republic of)",38.4739835,47.0605507
"Oman",21.512583,55.923255
"Tonga",-21.178986,-175.198242
"Azerbaijan",40.143105,47.576927
"Turkey",38.963745,35.243322
"Belize",17.189877,-88.49765
"Tunisia",33.886917,9.537499
"Jordan",30.585164,36.238414
"Algeria",28.033886,1.659626
"Sri Lanka",7.873054,80.771797
"Dominican Republic",18.735693,-70.162651
"Samoa",-13.759029,-172.104629
"Fiji",-17.713371,178.065032
"China",35.86166,104.195397
"Turkmenistan",38.969719,59.556278
"Thailand",15.870032,100.992541
"Suriname",3.919305,-56.027783
"El Salvador",13.794185,-88.89653
"Gabon",-0.803689,11.609444
"Paraguay",-23.442503,-58.443832
"Bolivia (Plurinational State of)",,
"Maldives",3.9870284,73.4977747
"Mongolia",46.862496,103.846656
"Moldova (Republic of)",47.0239188,28.8315153
"Philippines",12.879721,121.774017
"Egypt",26.820553,30.802498
"Occupied Palestinian Territory",,
"Uzbekistan",41.377491,64.585262
"Micronesia (Federated States of)",21.33368,-157.9093962
"Guyana",4.860416,-58.93018
"Botswana",-22.328474,24.684866
"Syrian Arab Republic",34.802075,38.996815
"Namibia",-22.95764,18.49041
"Honduras",15.199999,-86.241905
"Kiribati",1.8668577,-157.3599202
"South Africa",-30.559482,22.937506
"Indonesia",-0.789275,113.921327
"Vanuatu",-15.376706,166.959158
"Kyrgyzstan",41.20438,74.766098
"Tajikistan",38.861034,71.276093
"Viet Nam",14.058324,108.277199
"Nicaragua",12.865416,-85.207229
"Morocco",31.791702,-7.09262
"Guatemala",15.783471,-90.230759
"Iraq",33.223191,43.679291
"Cape Verde",15.1217288,-23.6050817
"India",20.593684,78.96288
"Ghana",7.946527,-1.023194
"Equatorial Guinea",1.650801,10.267895
"Congo",-0.228021,15.827659
"Lao People's Democratic Republic",19.85627,102.495496
"Cambodia",12.565679,104.990963
"Swaziland",-26.522503,31.465866
"Bhutan",27.514162,90.433601
"Solomon Islands",-9.64571,160.156194
"Kenya",-0.023559,37.906193
"Sao Tome and Principe",0.18636,6.613081
"Pakistan",30.375321,69.345116
"Bangladesh",23.684994,90.356331
"Timor-Leste",-8.874217,125.727539
"Angola",-11.202692,17.873887
"Myanmar",21.913965,95.956223
"Cameroon",7.369722,12.354722
"Madagascar",-18.766947,46.869107
"Tanzania (United Republic of)",22.296222,114.171447
"Papua New Guinea",-6.314993,143.95555
"Yemen",15.552727,48.516388
"Senegal",14.497401,-14.452362
"Nigeria",9.081999,8.675277
"Nepal",28.394857,84.124008
"Haiti",18.971187,-72.285215
"Mauritania",21.00789,-10.940835
"Lesotho",-29.609988,28.233608
"Uganda",1.373333,32.290275
"Togo",8.619543,0.824782
"Comoros",-11.6455,43.3333
"Zambia",-13.133897,27.849332
"Djibouti",11.825138,42.590275
"Rwanda",-1.940278,29.873888
"Benin",9.30769,2.315834
"Gambia",13.443182,-15.310139
"Sudan",12.862807,30.217636
